ind;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
0841tommy_sem1_num1;5.3;52.1573963;57.63941848;37.72900745;29.49144149;68.21421956;58.41078958;58.34276447;123.5837152;136.52517360000002
0843tommy_sem1_num2;5.9;51.94254611;56.21170424;37.24873154;25.74546714;72.4476305;58.32217219;57.28397389999999;123.8435162;136.6825703
0845tommy_sem1_num3;6.1;48.84790654;57.23856606;37.4331747;31.82582457;70.47788503;57.47563815;57.43016182;122.3588525;136.3430108
0847tommy_sem1_num4;6.0;55.21742339;67.41789081;38.0635352;30.81191055;86.28001227;67.77793839;67.76651259;120.1232424;139.98509019999997
0849tommy_sem1_num5;6.2;52.45689066;63.7221767;38.05665445;30.18437329;79.15256494;63.6782182;63.96150579;120.7708234;138.46157380000002
0851tommy_sem1_num6;5.8;55.47657768;68.43013357;36.54352057;31.12944102;91.47388673;68.6092725;68.69759069;119.5134916;141.0321282
0853tommy_sem1_num7;6.0;56.65735066;66.86472773;39.79729515;29.20214961;80.80688628;66.90488366;67.61945357;120.98721100000002;139.2188447
0855tommy_sem1_num8;6.1;52.27221455;62.4457686;38.20883008;32.69834063;79.43889792;62.33876176;62.71201531;120.9941198;138.4756628
0961tommy_sem2_num1;5.7;44.69761979;49.43954325;32.500892900000004;28.14827644;71.92181971;50.63940532;49.45829208;123.8810791;135.7263841
0963tommy_sem2_num2;6.1;51.34758927;56.89717049;34.68061126;28.34328614;81.04497987;58.55207566;57.6317058;123.048369;137.902965
0965tommy_sem2_num3;6.5;53.73293368;67.93577223;33.35658201;30.92487335;98.5171876;67.99971206;67.92424535;118.8388312;142.0486995
0967tommy_sem2_num4;6.5;51.94338016;57.57194696;34.69214799;27.08251439;78.70669166;58.24415583;58.29156207;123.1665021;137.7768523
0969tommy_sem2_num5;5.5;61.72765662;69.08273207;32.39886112;26.79801564;111.6048338;71.73907455;70.62995241;120.7153477;144.4302926
0971tommy_sem2_num6;6.9;49.84668246;65.15673123;33.27799222;33.23941361;99.5054574;65.17652829999999;64.67741728;118.34969209999998;141.3725072
0973tommy_sem2_num7;5.8;60.79225561;72.02271929999998;33.85327694;28.69204012;101.547751;72.32312577;72.99224771;119.6945541;143.5224966
0975tommy_sem2_num8;5.6;51.46992303;61.68177945;34.02897766;31.61169624;91.55724052;61.98501365;61.90053815;120.546698;140.0977462
1081tommy_sem3_num1;6.7;48.58777571;53.75473203;29.3445978;26.20427554;92.33372741;55.45398896;54.19515845;122.9295561;139.1144606
1083tommy_sem3_num2;5.8;54.92264308;70.15084178;29.59942077;30.69186844;112.1967445;70.16207247;70.12016755;117.6639854;144.818409
1085tommy_sem3_num3;6.2;50.60319175;55.80593655;30.5048012;27.41848966;95.68254905;57.70927407;56.412337;122.5934023;139.9948814
1087tommy_sem3_num4;5.8;51.45128417;57.28590234;30.277696;27.77355821;95.15898924;57.88285912;57.95446885;122.2314504;140.3144
1089tommy_sem3_num5;5.4;61.50113608;61.35839836;32.40911809;20.78069326;103.6220131;69.13089223;64.38589447;124.7168966;141.5610604
1091tommy_sem3_num6;6.0;47.56412697;57.24293398;31.24426361;31.62569275;92.1464173;57.31598572;57.23642245;120.7668009;139.7466206
1093tommy_sem3_num7;5.9;55.36980033;65.61666221;30.1069102;28.42505894;102.0178472;65.71823584;66.11198182;120.121378;142.83949199999995
1095tommy_sem3_num8;5.9;48.91190204;59.5941649;30.19526345;29.63104843;92.64474958;59.61878307;59.5009105;120.5112763;140.3440698
1201tommy_sem4_num1;6.2;52.39669772;48.70159534;27.88415714;28.46122441;105.9979138;56.63273014;50.9614308;126.736859;139.21750419999998
1203tommy_sem4_num2;5.8;57.34272429;68.89623509;30.08076156;29.131038300000004;111.3301712;69.41200079;69.43110987;119.052402;144.6683543
1205tommy_sem4_num3;7.8;46.98426027;57.70343631;27.48029471;29.84363071;102.7937003;57.98188658;57.33354054;120.1055858;141.2939265
1207tommy_sem4_num4;5.8;52.02437886;41.07533849;29.15696284;27.20575299;96.73888443;52.58133709;44.40105519;130.5881068;135.9565992
1209tommy_sem4_num5;6.0;52.8650236;72.26542905;28.21382862;33.14032206;120.2787935;72.26482917;71.49407729999999;115.6720937;146.173304
1211tommy_sem4_num6;6.4;52.07717635;58.34562335;26.89009402;26.60299166;110.1877455;59.82431667;59.01096962;121.5986541;142.4470118
1213tommy_sem4_num7;5.8;52.64557038;48.05471277;29.10676702;24.23917119;98.37892105;54.65174568;50.2762122;127.1880154;138.2200872
1215tommy_sem4_num8;5.6;56.15134623;65.59803513;28.46463482;27.20036117;111.8875107;67.15672333;66.18567654;120.0817765;144.1418763
1321tommy_sem5_num1;6.6;48.87645817;44.70019807;26.31370797;41.40696221;102.2157077;54.82683895;46.69565595;127.5707116;137.3653343
1323tommy_sem5_num2;6.6;47.94976314;47.76248361;26.65091412;31.56908942;100.0224928;54.78914762;48.62662857;125.4834893;138.2304833
1325tommy_sem5_num3;6.2;48.51440166;56.23243332;26.02343336;28.22094229;105.5021718;57.46714621;56.29296766;121.39851570000002;141.29671489999996
1327tommy_sem5_num4;6.4;44.56545571;49.51934815;26.00189275;31.36716817;98.94738619;51.54099389;49.3862632;122.9711061;138.9998221
1329tommy_sem5_num5;5.8;47.01852315;50.89626186;24.31713142;31.9796914;106.2719122;55.02476224;51.07053424;123.5220971;139.8468523
1331tommy_sem5_num6;6.0;45.65346438;42.57253072;25.44682751;20.02945588;94.33061143;48.15572402;43.56487873;126.8460613;136.9561209
1333tommy_sem5_num7;6.0;47.30176851;51.91499402;24.50955062;25.84103524;114.8213325;55.81662461;52.22164549;122.7063509;141.08589840000005
1335tommy_sem5_num8;6.0;48.63632084;59.67982286;25.37461561;29.78758198;115.3910733;60.1483871;59.37912531;119.4496703;143.2081026
1441tommy_sem6_num1;5.7;40.90576453;32.74949381;23.1927396;58.09234034;99.88458208;41.82574679;33.70501668;129.7723604;134.1873869
1443tommy_sem6_num2;5.8;42.91415452;44.80798231;24.19363119;30.02902941;99.95670533;47.64227048;44.52494276;124.5811936;137.82512309999998
1445tommy_sem6_num3;5.8;43.86117625;43.21964356;23.71947883;26.65328858;99.08734122;46.56330912;43.42188866;125.5947452;137.6811853
1447tommy_sem6_num4;5.7;44.40279611;52.56461761;23.19222514;29.39824532;114.8355182;52.95787072;51.85428075;120.87715590000002;141.5338045
1449tommy_sem6_num5;6.0;53.00146907;50.07416976;24.82647256;25.14376165;114.9543565;60.85379027;52.31191517;126.3421699;140.4091468
1451tommy_sem6_num6;5.7;47.70948069;41.65691838;26.10772392;20.92213572;96.05955639;49.44078636;43.49320994;128.1346915;136.6833003
1453tommy_sem6_num7;6.2;47.06225098;36.63586173;26.51006406;23.47678565;92.60646952;48.34696455;39.04814427;130.644894;134.6637268
1455tommy_sem6_num8;5.9;43.95775636;43.07669816;25.83866248;27.47183727;93.17242808;47.91768227;43.59187898;125.9966095;136.8535264
1561tommy_sem7_num1;6.1;35.73473396;27.67806245;19.81016482;24.39290067;97.76844668;36.35285431;27.64144652;129.9193541;132.7509956
1563tommy_sem7_num2;7.0;46.89636963;31.57912168;22.14244691;44.32591891;110.9602743;48.10516702;35.29444759;132.5886365;135.15135159999997
1565tommy_sem7_num3;5.4;42.17003151;41.5663318;21.21549079;24.88024448;111.4850008;45.93195849;41.45999864;125.5002057;138.1293579
1567tommy_sem7_num4;6.9;46.43616675;31.02163411;22.53906626;38.12549681;105.656886;46.347313;34.14109254;132.7626319;134.4256156
1569tommy_sem7_num5;6.0;43.57767975;35.90624372;20.59667579;24.35449859;112.67269240000002;44.28707163;36.98390952;128.946974;136.6616824
1571tommy_sem7_num6;6.0;44.37052179;34.38419399;21.98545826;20.69976911;104.7795252;44.67666075;35.9286974;130.2198459;135.512171
1573tommy_sem7_num7;7.1;39.77776972;29.09719871;21.45136241;45.46745723;99.0495392;40.11264439;30.25145248;130.95570759999998;133.33476940000003
1575tommy_sem7_num8;6.0;33.77715645;26.14697058;20.26770627;20.93484893;91.18980576;34.14556425;25.47227365;130.0466598;131.685058
